x1,y1,z1,x2,y2,z2
237521.842,425238.002,0,237527.733,425236.791,0
237522.081,425239.074,0,237527.915,425237.672,0
237522.356,425240.139,0,237528.14,425238.544,0
237522.666,425241.195,0,237528.394,425239.407,0
237523.011,425242.239,0,237528.676,425240.262,0
237523.391,425243.271,0,237528.987,425241.106,0
237523.806,425244.29,0,237529.326,425241.94,0
237524.253,425245.295,0,237529.692,425242.762,0
237524.735,425246.284,0,237530.086,425243.571,0
237525.248,425247.257,0,237530.506,425244.367,0
237525.794,425248.212,0,237530.953,425245.148,0
237526.372,425249.148,0,237531.426,425245.914,0
237526.98,425250.065,0,237531.923,425246.664,0
237527.619,425250.96,0,237532.446,425247.397,0
237528.287,425251.834,0,237532.993,425248.112,0
237528.984,425252.685,0,237533.563,425248.808,0
237529.708,425253.513,0,237534.156,425249.485,0
237530.46,425254.316,0,237534.771,425250.142,0
237531.239,425255.093,0,237535.408,425250.778,0
237532.042,425255.844,0,237536.065,425251.393,0
237532.871,425256.568,0,237536.725,425252.004,0
237533.726,425257.266,0,237537.439,425252.553,0
237534.601,425257.933,0,237538.155,425253.099,0
237535.497,425258.57,0,237538.888,425253.62,0
237536.414,425259.177,0,237539.639,425254.117,0
237537.351,425259.753,0,237540.405,425254.588,0
237538.307,425260.298,0,237541.187,425255.034,0
237539.28,425260.81,0,237541.983,425255.454,0
237540.27,425261.29,0,237542.793,425255.846,0
237541.276,425261.736,0,237543.616,425256.212,0
237542.295,425262.149,0,237544.45,425256.549,0
237543.328,425262.528,0,237545.295,425256.859,0
237544.373,425262.872,0,237546.15,425257.141,0
237545.429,425263.181,0,237547.014,425257.394,0
237546.494,425263.454,0,237547.885,425257.618,0
237547.568,425263.692,0,237548.764,425257.812,0
237548.649,425263.894,0,237549.649,425257.978,0
237549.737,425264.06,0,237550.538,425258.113,0
237550.829,425264.189,0,237551.432,425258.219,0
237551.919,425264.338,0,237552.329,425258.296,0
237553.019,425264.338,0,237553.228,425258.342,0
